"id","x"
"1",1
"2",1
"3",2
"4",1
"5",1
"6",1
"7",1
"8",1
"9",1
"10",1
"11",1
"12",3
"13",1
"14",1
"15",4
"16",5
"17",6
"18",6
"19",1
"20",1
"21",1
"22",1
"23",1
"24",7
"25",8
"26",1
"27",1
"28",9
"29",1
"30",1
"31",1
"32",0
"33",1
"34",1
"35",1
"36",1
"37",10
"38",6
"39",11
"40",1
"41",1
"42",1
"43",1
"44",3
"45",1
"46",12
"47",13
"48",1
"49",1
"50",6
"51",1
"52",6
"53",1
"54",1
"55",1
"56",1
"57",1
"58",1
"59",3
"60",1
"61",1
"62",14
"63",15
"64",1
"65",1
"66",1
"67",1
"68",3
"69",1
"70",0
"71",1
"72",1
"73",1
"74",1
"75",1
"76",1
"77",1
"78",1
"79",12
"80",13
"81",1
"82",1
"83",13
"84",1
"85",16
"86",1
"87",1
"88",1
"89",1
"90",1
"91",1
"92",9
"93",1
"94",1
"95",0
"96",1
"97",1
"98",1
"99",17
"100",0
"101",3
"102",18
"103",1
"104",1
"105",19
"106",1
"107",1
"108",1
"109",1
"110",1
"111",1
"112",1
"113",1
"114",1
"115",1
"116",1
"117",1
"118",1
"119",1
"120",1
"121",17
"122",1
"123",18
"124",15
"125",1
"126",1
"127",1
"128",1
"129",1
"130",1
"131",1
"132",3
"133",1
"134",1
"135",4
"136",1
"137",0
"138",1
"139",1
"140",15
"141",1
"142",1
"143",20
"144",6
"145",1
"146",1
"147",1
"148",21
"149",1
"150",22
"151",1
"152",1
"153",1
"154",1
"155",1
"156",1
"157",5
"158",1
"159",1
"160",20
"161",3
"162",1
"163",1
"164",1
"165",1
"166",1
"167",23
"168",1
"169",1
"170",3
"171",1
"172",1
"173",1
"174",1
"175",14
"176",3
"177",1
"178",1
"179",3
"180",1
"181",1
"182",1
"183",10
"184",6
"185",1
"186",1
"187",1
"188",3
"189",1
"190",1
"191",1
"192",1
"193",1
"194",1
"195",1
"196",1
"197",1
"198",1
"199",1
"200",0
"201",5
"202",1
"203",1
"204",46
"205",1
"206",1
"207",1
"208",24
"209",1
"210",5
"211",1
"212",1
"213",17
"214",22
"215",1
"216",1
"217",1
"218",1
"219",1
"220",16
"221",15
"222",1
"223",1
"224",25
"225",19
"226",1
"227",1
"228",6
"229",1
"230",1
"231",1
"232",1
"233",14
"234",8
"235",1
"236",1
"237",1
"238",6
"239",1
"240",1
"241",1
"242",6
"243",1
"244",3
"245",1
"246",1
"247",20
"248",3
"249",1
"250",1
"251",1
"252",1
"253",1
"254",16
"255",19
"256",1
"257",1
"258",1
"259",1
"260",1
"261",1
"262",1
"263",1
"264",1
"265",10
"266",5
"267",1
"268",10
"269",3
"270",1
"271",34
"272",1
"273",1
"274",1
"275",1
"276",17
"277",5
"278",1
"279",10
"280",9
"281",1
"282",6
"283",1
"284",1
"285",1
"286",1
"287",1
"288",1
"289",1
"290",1
"291",1
"292",1
"293",0
"294",1
"295",1
"296",1
"297",20
"298",5
"299",1
"300",1
"301",1
"302",1
"303",26
"304",3
"305",1
"306",1
"307",1
"308",1
"309",15
"310",1
"311",1
"312",1
"313",5
"314",1
"315",1
"316",1
"317",1
"318",17
"319",1
"320",1
"321",1
"322",0
"323",1
"324",1
"325",1
"326",1
"327",12
"328",19
"329",1
"330",1
"331",1
"332",1
"333",1
"334",1
"335",1
"336",27
"337",28
"338",1
"339",1
"340",1
"341",1
"342",1
"343",1
"344",29
"345",15
"346",1
"347",1
"348",1
"349",1
"350",1
"351",3
"352",1
"353",1
"354",1
"355",0
"356",1
"357",13
"358",1
"359",17
"360",6
"361",1
"362",0
"363",1
"364",1
"365",1
"366",1
"367",1
"368",30
"369",1
"370",27
"371",13
"372",14
"373",6
"374",31
"375",16
"376",6
"377",19
"378",1
"379",3
"380",1
"381",1
"382",1
"383",1
"384",1
"385",3
"386",6
"387",1
"388",6
"389",0
"390",1
"391",1
"392",1
"393",1
"394",1
"395",1
"396",1
"397",1
"398",1
"399",1
"400",1
"401",1
"402",1
"403",20
"404",15
"405",1
"406",1
"407",1
"408",1
"409",1
"410",1
"411",14
"412",32
"413",1
"414",1
"415",1
"416",1
"417",10
"418",6
"419",1
"420",1
"421",1
"422",1
"423",1
"424",0
"425",1
"426",1
"427",13
"428",1
"429",1
"430",1
"431",1
"432",1
"433",1
"434",33
"435",5
"436",1
"437",22
"438",1
"439",1
"440",1
"441",0
"442",1
"443",14
"444",3
"445",10
"446",6
"447",1
"448",1
"449",0
"450",1
"451",1
"452",1
"453",1
"454",1
"455",6
"456",1
"457",14
"458",5
"459",1
"460",1
"461",1
"462",17
"463",5
"464",1
"465",1
"466",1
"467",1
"468",1
"469",1
"470",1
"471",1
"472",1
"473",1
"474",1
"475",1
"476",1
"477",3
"478",1
"479",1
"480",1
"481",1
